code,barcode,price,name,img,qty,cat
247138,5035766063322,1000,Amstel Bier Lager 300ml,/1/e1124dbd-f223-411e-a3a8-102e5e48df48.jpg,0,0
247477,5035766062578,1449,Birra Moretti Lager Beer 330ml Bottles,/1/099f4996-cb15-4b95-966a-2af3673dc1b0.jpg,0,0
233157,5014379004687,1249,Budweiser King of Beers Lager Beer 300ml,/1/d1db520c-bbcd-489f-a41e-ae08a2027984.jpg,0,0
235376,5014379004786,1499,Budweiser King of Beers Lager Beer 300ml,/1/5a68ec2f-a8e3-4e4e-8d73-bcf24c6df63d.jpg,0,0
248226,5010038441824,1099,Carling Original Lager 440ml,/1/e772363c-e491-45c3-95e5-dacba24e997f.jpg,0,0
226689,5016325848666,2499,Carlsberg Lager Beer 330ml,/1/b30040f3-42ac-4639-9ca4-13dd7d23d97c.jpg,0,0
87646,7501064193040,1399,Corona Lager Beer Bottles 330ml,/1/eb84a10b-bd04-406e-8582-4b76456e33ab.jpg,0,0
251316,5035766181460,1798,Foster's Lager Beer 440ml Cans,/1/1eb63749-3ed4-421f-bbf2-0906f1ab44bc.jpg,0,0
257538,5035766063919,1299,Heineken Lager Beer 440ml,/1/182b4be4-8db4-4cab-b215-8ec73c9b5c18.jpg,0,0
163994,5035766381426,1299,Kronenbourg 1664 Lager Beer 275ml Bottles,/1/f2f0f5c4-f993-4862-9a69-7e0c02f21ff8.jpg,0,0
263576,5014379012866,1249,Stella Artois Belgium Premium Lager Beer Cans 440ml,/1/eb3ca40c-1f72-46c1-b0dc-518f1918b489.jpg,0,0
1011159,5060154912234,5423,BrewDog Dead Pony Club 330ml,/2/7b1aba0e-e69d-40b5-900c-ff7be8d3ce8f.jpg,0,1
263443,5056025448124,1099,BrewDog Punk IPA Post Modern Classic 330ml,/1/8d750cd5-8345-4604-b814-e0d30a9b40bb.jpg,0,1
1011842,5056025409057,6023,Brewdog Clockwork Tangerine Can,/71172/77e1de12-e490-4668-82d8-7ff6fca52d66.jpg,0,1
1011160,5060154918380,6422,Brewdog Elvis Juice,/71172/fc6be2c5-21c7-40f3-9ea9-fb30152fda68.jpg,0,1
1011841,5056025409385,4423,Brewdog Nanny State 0.5% Cans,/71172/b64a0a19-b6b7-4081-8caf-2049f2cdb1bf.jpg,0,1
1016460,5056025434387,5583,Brewdog Pale Ale 4% 330ml,/71172/13ec927d-affd-45e9-9186-42eb7232088c.jpg,0,1
1014686,5056025421363,4022,Brewdog Punk AF 330ml Cans,/71172/450460e8-a35c-42b4-a32a-d79c8d310186.jpg,0,1
1016059,5010153870462,3023,Broadway Boss 330ml Can,/71172/739e9895-cdce-413b-bdcb-f0a9764baf8f.jpg,0,1
1015998,5016325849977,3135,Brooklyn Defender,/71172/16fd3e25-eabf-4070-800a-e850e1009243.jpg,0,1
1015652,5016325849939,3023,Brooklyn Lager Beer 330ml,/71172/e9ae94a0-8988-471d-b6ba-1629af59ecfe.jpg,0,1
1015445,5707643440211,3322,Brooklyn Naranjito 355ml Can,/71172/61b2e836-ba8c-469a-870f-fb7e0136aa17.jpg,0,1
1012922,5060228270130,6823,Camden Hells Lager Can,/71172/cc5b7d12-3197-4fba-b994-ee6ab017fff4.jpg,0,1
1011659,5034743300757,3422,Drygate Crossing the Rubicon IPA,/71172/58e42398-1a95-4178-8f37-d05f4dea50fe.jpg,0,1
1011661,5034743300764,3223,Drygate Disco Forklift Mango Pale Ale,/71172/7bb8d1d4-7283-4965-a455-34344acf06cf.jpg,0,1
1011657,5034743300771,3322,Drygate Orinoco Mocha Milk Stout,/71172/0254cca2-63fd-4966-8a32-d2b16962c7d7.jpg,0,1
1013803,5060393850830,3822,Fourpure Brewing Company Juicebox Citrus IPA 330ml,/71172/ade7e35b-1df9-4613-93e5-4d9ea6bf8199.jpg,0,1
103567,5000213008874,7223,Guinness Draught Stout Beer Surger 520ml Can,/1/f1cddc31-2197-4bb0-bf82-a8819cc74187.jpg,0,1
1016060,5010153870455,3023,Hackney hopster  330ml Can,/71172/86a14fb9-79a1-45fb-a2ab-6f2a18bda865.jpg,0,1
1016635,5060265860110,7423,Magic Rock Cannonball India Pale Ale,/71172/60ec438c-2860-4d22-a0f8-1a2d824e129c.jpg,0,1
